,0,1
0,0.39667943120002747,"[0.001, 2, 256, 256, 64, 1e-06]"
1,0.4006204605102539,"[0.01, 2, 256, 128, 64, 1e-06]"
2,0.4016290009021759,"[0.0001, 2, 128, 256, 64, 1e-05]"
3,0.4048500955104828,"[0.01, 2, 128, 256, 128, 1e-06]"
4,0.4181593060493469,"[0.001, 1, 128, 64, 128, 0.01]"
5,0.4243258535861969,"[1e-05, 2, 256, 128, 32, 1e-05]"
6,0.42700275778770447,"[0.1, 2, 512, 128, 64, 0.0001]"
7,0.42752593755722046,"[0.01, 2, 256, 256, 64, 0.01]"
8,0.4280872344970703,"[0.1, 1, 128, 64, 128, 1e-05]"
9,0.4365342855453491,"[1e-05, 2, 128, 128, 32, 0.0001]"
10,0.44349536299705505,"[0.1, 3, 128, 64, 16, 0.0001]"
11,0.4509032070636749,"[0.1, 2, 128, 128, 32, 0.001]"
12,0.4563494026660919,"[0.1, 2, 512, 128, 128, 1e-06]"
13,0.45635685324668884,"[0.1, 3, 256, 128, 64, 0.001]"
14,0.46133649349212646,"[0.1, 1, 512, 64, 16, 0.001]"
15,0.46312204003334045,"[0.0001, 2, 512, 128, 64, 0.001]"
16,0.46373119950294495,"[0.1, 2, 512, 128, 64, 1e-06]"
17,0.46543315052986145,"[1e-06, 3, 256, 256, 16, 1e-06]"
18,0.46790406107902527,"[0.001, 3, 256, 256, 32, 0.1]"
19,0.47198429703712463,"[1e-06, 3, 256, 256, 16, 1e-06]"
20,0.47360992431640625,"[0.1, 1, 256, 256, 64, 1e-06]"
21,0.47757479548454285,"[1e-06, 3, 128, 256, 128, 1e-05]"
22,0.49537402391433716,"[1e-06, 3, 256, 256, 16, 1e-06]"
23,0.49691930413246155,"[0.1, 2, 512, 64, 128, 0.01]"
24,0.5043368935585022,"[0.1, 1, 128, 128, 16, 0.1]"
25,0.5079838037490845,"[0.1, 1, 128, 128, 16, 1e-05]"
26,0.5379422903060913,"[1e-06, 2, 128, 128, 32, 0.0001]"
27,0.541966438293457,"[1e-06, 3, 256, 64, 64, 0.0001]"
28,0.5675092339515686,"[1e-05, 2, 512, 128, 64, 0.001]"
29,0.569480299949646,"[0.1, 2, 512, 256, 16, 1e-06]"
30,0.5697061419487,"[1e-05, 2, 512, 128, 64, 0.001]"
31,0.590782642364502,"[0.1, 3, 256, 256, 64, 1e-06]"
32,0.5952263474464417,"[0.1, 2, 128, 256, 128, 1e-06]"
33,0.6720771789550781,"[0.1, 2, 128, 128, 32, 0.1]"
34,0.6845576167106628,"[1e-06, 1, 128, 256, 64, 1e-06]"
35,0.7535568475723267,"[1e-06, 1, 128, 64, 32, 1e-06]"
36,0.8885840773582458,"[1e-05, 2, 128, 256, 16, 0.01]"
37,1.006798267364502,"[1e-06, 1, 256, 64, 32, 1e-06]"
38,7.6688079833984375,"[1e-06, 1, 256, 128, 128, 0.1]"
39,21.011682510375977,"[1e-06, 3, 512, 64, 32, 0.1]"
