,AUPRC,AUROC,Accuracy,run_type,model_name,holdout_number,use_feature_selection
0,0.1602269262945505,0.9505767002495666,0.9887019040846963,train,FFNN,0,True
1,0.153668973491231,0.9418396850073373,0.9887019040846963,test,FFNN,0,True
2,0.22850227868451756,0.9490364148796705,0.9887019040846963,train,FFNN,0,False
3,0.23892256291266115,0.9181076634728544,0.9887019040846963,test,FFNN,0,False
4,0.23840601991791907,0.9493985617227585,0.9887019040846963,train,FFNN,1,True
5,0.1928865595862382,0.8921462507446207,0.9887019040846963,test,FFNN,1,True
6,0.24367937742767354,0.9636765214568074,0.9887019040846963,train,FFNN,1,False
7,0.20034817128730845,0.9172579857412846,0.9887019040846963,test,FFNN,1,False
8,0.24454983515230427,0.9614156969369132,0.9887019040846963,train,FFNN,2,True
9,0.21852771396892368,0.9160492695733227,0.9887019040846963,test,FFNN,2,True
10,0.1828532717073592,0.9548699861749247,0.9887019040846963,train,FFNN,2,False
11,0.1698231531664682,0.9213926556103318,0.9887019040846963,test,FFNN,2,False
12,0.2211306552975181,0.967365309594513,0.9887019040846963,train,FFNN,3,True
13,0.17905709182634733,0.9275312349469295,0.9887019040846963,test,FFNN,3,True
14,0.2556114061319809,0.9636078047132667,0.9887019040846963,train,FFNN,3,False
15,0.1955951931073931,0.9250590387716808,0.9887019040846963,test,FFNN,3,False
16,0.2532255488670556,0.9624649937524518,0.9887019040846963,train,FFNN,4,True
17,0.2867813554244971,0.9521112577689211,0.9887019040846963,test,FFNN,4,True
18,0.2738803034350557,0.9530366199646605,0.9887019040846963,train,FFNN,4,False
19,0.3207407350429901,0.9473708327791754,0.9887019040846963,test,FFNN,4,False
20,0.31484336327174645,0.9434241691263826,0.988859919412183,train,FFNN,5,True
21,0.2962916602115174,0.9201593515961425,0.9887809117484396,test,FFNN,5,True
22,0.2601205624375283,0.9502496190280871,0.9887019040846963,train,FFNN,5,False
23,0.23587038204470528,0.9061261177690777,0.9887019040846963,test,FFNN,5,False
24,0.24296033810082338,0.9521907840840635,0.9887019040846963,train,FFNN,6,True
25,0.18549271779850995,0.9090978942744965,0.9887019040846963,test,FFNN,6,True
26,0.2304157557920229,0.9610869218084137,0.9887019040846963,train,FFNN,6,False
27,0.1776868164594583,0.9129570685028573,0.9887019040846963,test,FFNN,6,False
28,0.3755277265274545,0.9708051283262047,0.9894327249743226,train,FFNN,7,True
29,0.3316752927240219,0.927083903789993,0.9889389270759263,test,FFNN,7,True
30,0.1712435100814367,0.947297401036713,0.9887019040846963,train,FFNN,7,False
31,0.15654134315498092,0.916272795448119,0.9887019040846963,test,FFNN,7,False
32,0.1897033211583476,0.9520227554928691,0.9887019040846963,train,FFNN,8,True
33,0.1744426373984909,0.9175002319080952,0.9887019040846963,test,FFNN,8,True
34,0.26553919596786435,0.9624054101364513,0.9887019040846963,train,FFNN,8,False
35,0.20883957245283433,0.9119316435522286,0.9887019040846963,test,FFNN,8,False
36,0.1874449420714584,0.9495249935456903,0.9887019040846963,train,FFNN,9,True
37,0.14416151331618446,0.915643570110567,0.9887019040846963,test,FFNN,9,True
38,0.26902151048976175,0.9728208252910586,0.9887019040846963,train,FFNN,9,False
39,0.194470534924535,0.9149998155911534,0.9887019040846963,test,FFNN,9,False
