,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,run_type,model_name,holdout_number
0,0.479736328125,0.7591735124588013,0.6370902061462402,0.6652325391769409,0.8362427949905396,0.7158162593841553,0.6508572697639465,0.7313390970230103,0.8255879282951355,0.36290982365608215,0.1744120866060257,0.4674384891986847,train,CNN,0
1,0.5629944801330566,0.7135205268859863,0.5697641372680664,0.5980611443519592,0.7532912492752075,0.600602388381958,0.5835698246955872,0.6807395219802856,0.7917149662971497,0.4302358627319336,0.20828503370285034,0.3656710684299469,test,CNN,0
0,0.49777790904045105,0.7489988207817078,0.7906084656715393,0.6111645102500916,0.8358486294746399,0.7111091017723083,0.6894009709358215,0.7584856152534485,0.7263627648353577,0.2093915343284607,0.27363723516464233,0.49585458636283875,train,CNN,1
1,0.5798040628433228,0.6895930171012878,0.6989201307296753,0.5464948415756226,0.7452796101570129,0.5839022994041443,0.6133798956871033,0.6917198896408081,0.6845196485519409,0.3010798394680023,0.3154803216457367,0.368133008480072,test,CNN,1
0,0.47294995188713074,0.767996609210968,0.6038787961006165,0.6971337199211121,0.8383737206459045,0.7392166256904602,0.6471640467643738,0.7305784225463867,0.8572781085968018,0.39612120389938354,0.14272187650203705,0.4783857762813568,train,CNN,2
1,0.5646384358406067,0.7097162008285522,0.516055703163147,0.6028215885162354,0.7526986598968506,0.5907672047615051,0.5560743808746338,0.665555477142334,0.815055251121521,0.483944296836853,0.1849447339773178,0.3446289598941803,test,CNN,2
0,0.4483705759048462,0.7722392082214355,0.6041629910469055,0.706823468208313,0.8589439392089844,0.7458762526512146,0.6514736413955688,0.7339185476303101,0.8636741042137146,0.39583703875541687,0.136325865983963,0.48714667558670044,train,CNN,3
1,0.5708399415016174,0.7121689915657043,0.5112248063087463,0.6090047359466553,0.7555771470069885,0.6021064519882202,0.5558473467826843,0.6663473844528198,0.8214699625968933,0.48877522349357605,0.1785300225019455,0.34823235869407654,test,CNN,3
0,0.4663653075695038,0.7745169401168823,0.5806841254234314,0.7246453762054443,0.8516957759857178,0.7531812787055969,0.6447262167930603,0.7303239107131958,0.8799636960029602,0.4193158745765686,0.12003632634878159,0.48885172605514526,train,CNN,4
1,0.55974942445755,0.7163738012313843,0.48962774872779846,0.6242753863334656,0.7581677436828613,0.6072795391082764,0.54881352186203,0.6646685600280762,0.8397094011306763,0.5103722810745239,0.16029059886932373,0.3518091142177582,test,CNN,4
0,0.4785083532333374,0.7450565695762634,0.40937021374702454,0.7548467516899109,0.845940887928009,0.721067488193512,0.5308490991592407,0.6685215830802917,0.9276729226112366,0.5906297564506531,0.07232710719108582,0.40952354669570923,train,CNN,5
1,0.5777421593666077,0.7031586170196533,0.3357487916946411,0.6531232595443726,0.7458371520042419,0.5903868675231934,0.44350600242614746,0.619377613067627,0.9030064344406128,0.6642512083053589,0.096993587911129,0.29615235328674316,test,CNN,5
0,0.5032550096511841,0.753892183303833,0.6756651401519775,0.6435918211936951,0.8274236917495728,0.6950875520706177,0.6592385768890381,0.7360567450523376,0.7964483499526978,0.32433488965034485,0.20355162024497986,0.46714767813682556,train,CNN,6
1,0.5710839629173279,0.7068628668785095,0.6001704931259155,0.5813377499580383,0.745919406414032,0.5866177082061768,0.5906040072441101,0.6825336217880249,0.764896810054779,0.3998295068740845,0.23510317504405975,0.36250200867652893,test,CNN,6
0,0.48558175563812256,0.7527032494544983,0.6549568176269531,0.6473231315612793,0.8304417729377747,0.6851153373718262,0.6511176228523254,0.7304174900054932,0.8058781623840332,0.3450431525707245,0.194121852517128,0.4596181809902191,train,CNN,7
1,0.5650554895401001,0.7065125107765198,0.5878090262413025,0.5827581286430359,0.7507187128067017,0.5930706262588501,0.5852726697921753,0.6794443130493164,0.7710796594619751,0.4121909737586975,0.2289203256368637,0.35818880796432495,test,CNN,7
0,0.4883311092853546,0.756395161151886,0.6171278357505798,0.6666922569274902,0.8289738893508911,0.718072772026062,0.6409533023834229,0.7246428728103638,0.8321578502655029,0.38287216424942017,0.16784216463565826,0.4578133523464203,train,CNN,8
1,0.5595470070838928,0.7086148858070374,0.5419152975082397,0.594914972782135,0.7542856931686401,0.5912610292434692,0.5671797394752502,0.6706021428108215,0.7992889881134033,0.45808467268943787,0.20071102678775787,0.34914085268974304,test,CNN,8
0,0.5337805151939392,0.7424534559249878,0.6953077912330627,0.6199328899383545,0.8098902106285095,0.6765695214271545,0.6554604768753052,0.7317044734954834,0.7681010961532593,0.30469220876693726,0.23189890384674072,0.45280176401138306,train,CNN,9
1,0.5685325264930725,0.704610288143158,0.640807032585144,0.5721172094345093,0.7563475966453552,0.5953752994537354,0.6045171022415161,0.6900611519813538,0.7393152713775635,0.35919296741485596,0.2606847584247589,0.3715074956417084,test,CNN,9
